,$,private,public,rpar,lpar,id,dot,semi,colon,let,float,integer,rcurbr,lcurbr,struct,return,write,read,while,else,then,if,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,inherits,and,div,mult,rsqbr,lsqbr,impl,arrow,func,not,floatlit,intlit,equal,or
START,START → PROG,,,,,,,,,,,,,,START → PROG,,,,,,,,,,,,,,,,,,,,,,,,START → PROG,,START → PROG,,,,,
ADDOP,,,,,,,,,,,,,,,,,,,,,,,ADDOP → minus N,ADDOP → plus N,,,,,,,,,,,,,,,,,,,,,,ADDOP → or N
APARAMS,,,,APARAMS → E &epsilon Z,APARAMS → E EXPR REPTAPARAMS1 Z,APARAMS → E EXPR REPTAPARAMS1 Z,,,,,,,,,,,,,,,,,APARAMS → E EXPR REPTAPARAMS1 Z,APARAMS → E EXPR REPTAPARAMS1 Z,,,,,,,,,,,,,,,,,,APARAMS → E EXPR REPTAPARAMS1 Z,APARAMS → E EXPR REPTAPARAMS1 Z,APARAMS → E EXPR REPTAPARAMS1 Z,,
APARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,,,,APARAMSTAIL → comma EXPR,,,,,,,,,,,,,,,,,,,,
ARITHEXPR,,,,,ARITHEXPR → TERM RIGHTRECARITHEXPR,ARITHEXPR → TERM RIGHTRECARITHEXPR,,,,,,,,,,,,,,,,,ARITHEXPR → TERM RIGHTRECARITHEXPR,ARITHEXPR → TERM RIGHTRECARITHEXPR,,,,,,,,,,,,,,,,,,ARITHEXPR → TERM RIGHTRECARITHEXPR,ARITHEXPR → TERM RIGHTRECARITHEXPR,ARITHEXPR → TERM RIGHTRECARITHEXPR,,
ARRAYSIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE → lsqbr ARRAYSIZE2,,,,,,,,
ARRAYSIZE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE2 → rsqbr,,,,,,,ARRAYSIZE2 → intlit A rsqbr,,
ASSIGNOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASSIGNOP → equal,
EXPR,,,,,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,,,,,,,,,,,,,,,,,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,,,,,,,,,,,,,,,,,,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,,
EXPR2,,,,EXPR2 → &epsilon,,,,EXPR2 → &epsilon,,,,,,,,,,,,,,,,,,EXPR2 → &epsilon,EXPR2 → RELOP ARITHEXPR L,EXPR2 → RELOP ARITHEXPR L,EXPR2 → RELOP ARITHEXPR L,EXPR2 → RELOP ARITHEXPR L,EXPR2 → RELOP ARITHEXPR L,EXPR2 → RELOP ARITHEXPR L,,,,,,,,,,,,,,
FACTOR,,,,,FACTOR → lpar ARITHEXPR rpar,FACTOR → id A FACTOR2 REPTVARORFUNCCALL,,,,,,,,,,,,,,,,,FACTOR → SIGN FACTOR R,FACTOR → SIGN FACTOR R,,,,,,,,,,,,,,,,,,FACTOR → not FACTOR Q,FACTOR → floatlit A,FACTOR → intlit A,,
FACTOR2,,,,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → lpar APARAMS rpar J,,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → E REPTIDNEST1 C D,,,,,,,,,,,,,,,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → E REPTIDNEST1 C D,,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → E REPTIDNEST1 C D,,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → E REPTIDNEST1 C D,,,,,,,,FACTOR2 → E REPTIDNEST1 C D
FPARAMS,,,,FPARAMS → E &epsilon A4,,FPARAMS → E id A colon TYPE E REPTFPARAMS3 A1 A2 REPTFPARAMS4 A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,,,,FPARAMSTAIL → comma id A colon TYPE E REPTFPARAMSTAIL4 A1 A2,,,,,,,,,,,,,,,,,,,,
FUNCBODY,,,,,,,,,,,,,,FUNCBODY → lcurbr E REPTFUNCBODY1 A8 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDECL → FUNCHEAD A9 semi,,,,,
FUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDEF → FUNCHEAD FUNCBODY A6,,,,,
FUNCHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEAD → func id A lpar FPARAMS rpar arrow RETURNTYPE,,,,,
IDNEST,,,,,,,IDNEST → dot id A G IDNEST2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDNEST2,,,,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F lpar APARAMS rpar J,,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F E REPTIDNEST1 C D,,,,,,,,,,,,,,,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F E REPTIDNEST1 C D,,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F E REPTIDNEST1 C D,,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F E REPTIDNEST1 C D,,,,,,,,IDNEST2 → F E REPTIDNEST1 C D
IMPLDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMPLDEF → impl id A lcurbr E REPTIMPLDEF3 B1 rcurbr B2,,,,,,,
INDICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDICE → lsqbr ARITHEXPR rsqbr,,,,,,,,
MEMBERDECL,,,,,,,,,,MEMBERDECL → VARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERDECL → FUNCDECL,,,,,
MULTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MULTOP → and P,MULTOP → div P,MULTOP → mult P,,,,,,,,,,
