nonterminal,first set,follow set,nullable,endable
START,struct impl func,∅,yes,yes
ARRAYSIZE2,intlit rsqbr,semi lsqbr rpar comma,no,no
EXPR2,eq neq lt gt leq geq,semi comma rpar,yes,no
FACTOR2,lpar lsqbr,semi mult div and dot rsqbr eq neq lt gt leq geq plus minus or comma rpar,yes,no
FUNCBODY,lcurbr,struct impl func rcurbr,no,yes
FUNCHEAD,func,semi lcurbr,no,no
FPARAMS,id,rpar,yes,no
IDNEST2,lpar lsqbr,semi mult div and dot rsqbr eq neq lt gt leq geq plus minus or comma rpar,yes,no
FUNCDECL,func,rcurbr public private,no,no
PROG,struct impl func,∅,yes,yes
ARITHEXPR,id intlit floatlit lpar not plus minus,semi rsqbr eq neq lt gt leq geq comma rpar,no,no
RELOP,eq neq lt gt leq geq,id intlit floatlit lpar not plus minus,no,no
APARAMSTAIL,comma,comma rpar,no,no
REPTAPARAMS1,comma,rpar,yes,no
REPTFPARAMS3,lsqbr,rpar comma,yes,no
FPARAMSTAIL,comma,comma rpar,no,no
REPTFPARAMS4,comma,rpar,yes,no
REPTFPARAMSTAIL4,lsqbr,comma rpar,yes,no
REPTFUNCBODY1,let id if while read write return,rcurbr,yes,no
REPTIMPLDEF3,func,rcurbr,yes,no
REPTOPTSTRUCTDECL22,comma,lcurbr,yes,no
REPTPROG0,struct impl func,∅,yes,yes
MEMBERDECL,let func,rcurbr public private,no,no
ARRAYSIZE,lsqbr,semi lsqbr rpar comma,no,no
IDNEST,dot,semi mult div and dot rsqbr eq neq lt gt leq geq plus minus or comma rpar,no,no
REPTVARORFUNCCALL,dot,semi mult div and rsqbr eq neq lt gt leq geq plus minus or comma rpar,yes,no
RETURNTYPE,void integer float id,semi lcurbr,no,no
ADDOP,plus minus or,id intlit floatlit lpar not plus minus,no,no
RIGHTRECARITHEXPR,plus minus or,semi rsqbr eq neq lt gt leq geq comma rpar,yes,no
MULTOP,mult div and,id intlit floatlit lpar not plus minus,no,no
SIGN,plus minus,id intlit floatlit lpar not plus minus,no,no
REPTSTATBLOCK1,id if while read write return,rcurbr,yes,no
RELEXPR,id intlit floatlit lpar not plus minus,rpar,no,no
STATBLOCK,lcurbr id if while read write return,else semi,yes,no
INDICE,lsqbr,semi mult div and lsqbr equal dot rsqbr eq neq lt gt leq geq plus minus or comma rpar,no,no
STATEMENTIDNEST2,dot,semi,yes,no
STATEMENTIDNEST3,dot equal,semi,no,no
ASSIGNOP,equal,id intlit floatlit lpar not plus minus,no,no
EXPR,id intlit floatlit lpar not plus minus,semi comma rpar,no,no
STATEMENTIDNEST,dot lpar lsqbr equal,semi,no,no
OPTSTRUCTDECL2,inherits,lcurbr,yes,no
REPTSTRUCTDECL4,public private,rcurbr,yes,no
STRUCTORIMPLORFUNC,struct impl func,struct impl func,no,yes
STRUCTDECL,struct,struct impl func,no,yes
IMPLDEF,impl,struct impl func,no,yes
FUNCDEF,func,struct impl func rcurbr,no,yes
TERM,id intlit floatlit lpar not plus minus,semi rsqbr eq neq lt gt leq geq plus minus or comma rpar,no,no
FACTOR,id intlit floatlit lpar not plus minus,semi mult div and rsqbr eq neq lt gt leq geq plus minus or comma rpar,no,no
RIGHTRECTERM,mult div and,semi rsqbr eq neq lt gt leq geq plus minus or comma rpar,yes,no
TYPE,integer float id,rpar lcurbr comma lsqbr semi,no,no
REPTVARDECL4,lsqbr,semi,yes,no
VARDECLORSTAT,let id if while read write return,let id if while read write return rcurbr,no,no
VARDECL,let,public private let id if while read write return rcurbr,no,no
STATEMENT,id if while read write return,else semi let id if while read write return rcurbr,no,no
VARIABLE,id,rpar,no,no
VARIABLE2,lpar lsqbr dot,rpar,yes,no
REPTVARIABLE,dot,rpar,yes,no
VARIDNEST2,lpar lsqbr,rpar dot,yes,no
APARAMS,id intlit floatlit lpar not plus minus,rpar,yes,no
VARIDNEST,dot,rpar dot,no,no
REPTIDNEST1,lsqbr,equal semi mult div and dot rsqbr eq neq lt gt leq geq plus minus or comma rpar,yes,no
VISIBILITY,public private,let func,no,no
